"name","img","info"
"Bananas","https://i.pinimg.com/736x/bd/31/51/bd3151af17eb6a9a01e457668570424c.jpg","Follows Fielding Mellish, a product tester, as he travels to a fictional Latin American republic to join a rebellion."
"The Mouse That Roared","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQp7yiJf6Cjc_MytlUqCWntAdV4fk52tIwnyQ&s","A tiny, impoverished European nation declares war on the United States of America, planning to lose in order to collect post-war compensation, but things don't go according to plan."
"The Gold Rush","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ3wfWCFxnRBZ0abF5thK5cK4zd17tXMwgAbg&s","The tale follows the adventures of Chaplin’s legendary Tramp character as he prospects for gold, fighting off wild animals and greedy competitors."
"Modern Times","https://www.informagiovani-italia.com/tempi_moderni.jpg","The film, which was set during the Great Depression, centres on a luckless factory worker (played by Chaplin) who finds himself so unnerved by trying to cope with the modern equipment he must operate that he suffers a breakdown."
"The Great Dictator","https://img.hulu.com/user/v3/artwork/771f4ca3-388c-4932-b60b-9b0384a021a8?base_image_bucket_name=image_manager&base_image=1c58318f-aa0b-4238-97ec-1cb0c71fa19b&size=458x687&format=webp","The movie tells the story of a Jewish barber who is mistaken for the ruthless dictator Adenoid Hynkel of Tomania, a fictional nation, and uses the opportunity to deliver a powerful speech promoting peace and equality, ultimately saving the Jewish population from persecution."
"A Night At The Opera","https://static.wixstatic.com/media/e6ad8d_1f890a4ef52849beb9a9e631cf6d917c~mv2.jpg/v1/fill/w_980,h_1502,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/e6ad8d_1f890a4ef52849beb9a9e631cf6d917c~mv2.jpg","A Marx Brothers comedy where they disrupt the world of high society and opera."
"Duck Soup","https://static1.squarespace.com/static/5e7a8f6d95bc3643e73bc2e8/5e90fce5999849415babff41/5e97e21c5445be0b52a2c0c2/1687197424245/duck_soup.png?format=1500w","In the country of Freedonia, wealthy socialite Mrs. Teasdale (Margaret Dumont) agrees to give the small country a sum of $20 million in order to save it from bankruptcy provided that Rufus T. Firefly (Groucho Marx) is appointed the new leader."
"The Jerk","https://cdn10.bigcommerce.com/s-o6vy9cv/products/113390/images/109804/193602__01032.1520093560.500.500.jpg?c=2","A simpleminded, sheltered country boy suddenly decides to leave his family home to experience life in the big city, where his naivete is both his best friend and his worst enemy."
"Casablanca","https://third-ear.com/wp-content/uploads/2022/07/images4.jpg","A classic WWII romance in Morocco."
"The Shop Around The Corner","https://filmforum.org/do-not-enter-or-modify-or-erase/client-uploads/thumbs/Shope-Around-the-Corner_WEBSITE_IN-TEXT1520.jpg","Two coworkers clash, not knowing they’re pen pals."
